Revenues . 2019,,,,,,,,,,,,,,,,,,,,
,,,,كهرب,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
Date,رقم القيد,التوصيف,اسم المشروع معدل,اسم المشروع,Type,مبلغ القيد,Code,,,,,,,,,,,,,
01-Jan-2020,1085,مبيعات خرسانه الوادى,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"85,184.21 ",3001,,,,,,,,,,,0,70ع الشمس,كهرباء مول غرب الشروق
01-Jan-2020,1086,مبيعات خرسانه م امير,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"14,026.32 ",3001,,,,,,,,,,,0,المبنى الادارى -مدينه نصر,
01-Jan-2020,1087,مبيعات خرسانه الجيزه ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"11,631.58 ",3001,,,,,,,,,,,0,الريهام,
01-Jan-2020,1088,مبيعات خرسانه D.C.I ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"87,368.42 ",3001,,,,,,,,,,,0,ارض الشركه,
01-Jan-2020,1089,مبيعات خرسانه A.H.M ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"88,460.53 ",3001,,,,,,,,,,,0,18 برج كارفور,
01-Jan-2020,1090,مبيعات خرسانه الميدان ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"229,750.00 ",3001,,,,,,,,,,,0,مول دارنا,
01-Jan-2020,1091,مبيعات خرسانه الوادى ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"269,964.91 ",3001,,,,,,,,,,,0,رويه الاستثمار العقارى,
01-Jan-2020,1092,مبيعات خرسانه نحو ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"52,456.14 ",3001,,,,,,,,,,,0,ت الواحدت المباعه,
01-Jan-2020,1093,مبيعات خرسانه بنادر ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"112,850.88 ",3001,,,,,,,,,,,,,
01-Jan-2020,1094,مبيعات خرسانه هاى ايجي ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"91,008.77 ",3001,,,,,,,,,,,0,جراج عمارة 14 دارنا,
01-Jan-2020,1095,مبيعات خرسانه اسكوير  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"5,473.68 ",3001,,,,,,,,,,,0,,
01-Jan-2020,1096,مبيعات خرسانه الميدان  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"41,929.82 ",3001,,,,,,,,,,,0,الادارة العامة ,
01-Jan-2020,1097,مبيعات خرسانه A.H.M  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"14,561.40 ",3001,,,,,,,,,,,0,جراج شبرا,
01-Jan-2020,1098,مبيعات خرسانه الوادى  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"260,649.12 ",3001,,,,,,,,,,,0,فرع المهندسين - لاغي,
01-Jan-2020,1099,مبيعات خرسانه D.C.I  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"47,894.74 ",3001,,,,,,,,,,,0,محطات خلط الخرسانه,
01-Jan-2020,1100,مبيعات خرسانه هاى ايجي  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"6,842.11 ",3001,,,,,,,,,,,0,محطه خلط رويه,
01-Jan-2020,1101,مبيعات خرسانه بنادر   ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"21,842.11 ",3001,,,,,,,,,,,0,محطه خلط الشروق,
01-Jan-2020,1194,تسوية عملاء مقاولات تسوية المستخلص الختامي,كليه رياض اطفال,كليه رياض اطفال,المقاولات,"242,436.59 ",4039,,,,,,,,,,,0,محاجر بنى سويف,
01-Feb-2020,432,غرامة تأخير حمادة محمد عوض,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,"16,705.00 ",7003,,,,,,,,,,,0,المقاولات,
01-Feb-2020,889,مبيعات خرسانه.نحو,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"102,657.89 ",3001,,,,,,,,,,,0,78ع. اكتوبر,
01-Feb-2020,890,مبيعات خرسانه.الميدان,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"244,263.16 ",3001,,,,,,,,,,,0,مرافق 78 عماره,
01-Feb-2020,891,مبيعات خرسانه D.C.I,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"99,500.00 ",3001,,,,,,,,,,,0,7ع. المعمورة,
01-Feb-2020,892,مبيعات خرسانه الجيزه,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"61,140.35 ",3001,,,,,,,,,,,0,مرافق المعموره,
01-Feb-2020,893,مبيعات خرسانه الوادى,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"170,052.63 ",3001,,,,,,,,,,,0,واحه المهندسين,
01-Feb-2020,894,مبيعات خرسانه بنادر,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"34,219.30 ",3001,,,,,,,,,,,0,17ع. اكتوبر,
01-Feb-2020,895,مبيعات خرسانه سكوير,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"12,807.02 ",3001,,,,,,,,,,,0,46ع. العبور,
01-Feb-2020,896,مبيعات خرسانه هاى ايجي,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"105,000.00 ",3001,,,,,,,,,,,0,3ع. العبور,
01-Feb-2020,1116,مبيعات خرسانه.A.H.M,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"64,798.25 ",3001,,,,,,,,,,,0,محطه صدر الحيطان,
01-Feb-2020,1117,مبيعات خرسانه.هاى ايجي ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"37,894.74 ",3001,,,,,,,,,,,0,محطه قريه الريد,
01-Feb-2020,1118,مبيعات خرسانه بنادر,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"101,219.30 ",3001,,,,,,,,,,,0,محطه العريش,
01-Feb-2020,1119,مبيعات خرسانه الوادى,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"21,842.11 ",3001,,,,,,,,,,,0,مصارف تلا ب,
01-Feb-2020,1120,مبيعات خرسانه الميدان,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"122,078.95 ",3001,,,,,,,,,,,0,مصارف الحصه الاولى,
01-Feb-2020,1121,مبيعات خرسانه الجيزه,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"36,973.68 ",3001,,,,,,,,,,,0,مصارف الاحراز,
01-Feb-2020,1122,مبيعات خرسانه D.C.I,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"85,912.28 ",3001,,,,,,,,,,,0,مصارف محله روح,
01-Feb-2020,1123,مبيعات خرسانه سكوير,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"32,017.54 ",3001,,,,,,,,,,,0,مصارف ابيار الثانية أ,
01-Feb-2020,1272,مبيعات خرسانه الميدان,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"150,359.65 ",3001,,,,,,,,,,,0,مصارف السرو الاعلى,
